position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
1,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,947261,,1,1,new,2017,1
2,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,893107,,1,2,new,2017,1
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,871617,,1,3,new,2017,1
4,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,791592,,1,4,new,2017,1
5,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,743490,,1,5,new,2017,1
6,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,727010,,1,6,new,2017,1
7,3AsAuGTaDQzavZZThyYlop,Sexual,NEIKED,718948,,1,7,new,2017,1
8,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,701007,,1,8,new,2017,1
9,7aV2mflaASUmGhCErm7kBO,The Mack,Nevada,662520,,1,9,new,2017,1
10,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,651674,,1,10,new,2017,1
11,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,639428,,1,11,new,2017,1
12,0jVPEBd4wyHupkTHwzQRyc,Stranger,Peking Duk,637960,,1,12,new,2017,1
13,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,625731,,1,13,new,2017,1
14,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,599072,,1,14,new,2017,1
15,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,595206,,1,15,new,2017,1
16,5v9N8Rx3QsFvr50cxyQcA3,Love$ick,Mura Masa,591649,,1,16,new,2017,1
17,4nMlau89VAjmV7agkl7OY3,Fresh Eyes,Andy Grammer,569716,,1,17,new,2017,1
18,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,566274,,1,18,new,2017,1
19,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,548086,,1,19,new,2017,1
20,343YBumqHu19cGoGARUTsd,Fake Love,Drake,547976,,1,20,new,2017,1
21,2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,540303,,1,21,new,2017,1
22,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,530867,,1,22,new,2017,1
23,1qOLh0tI7trd1zdDKxYZTe,Starving,Hailee Steinfeld,515992,,1,23,new,2017,1
24,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,508195,,1,24,new,2017,1
25,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,504674,,1,25,new,2017,1
26,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,503365,,1,26,new,2017,1
27,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,498679,,1,27,new,2017,1
28,1yNyoWWWikbLhwIGWjZuDW,All Night,The Vamps,492301,,1,28,new,2017,1
29,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,484136,,1,29,new,2017,1
30,4sQMalN597HdggTu196aL0,Say It (feat. Tove Lo),Flume,479690,,1,30,new,2017,1
31,0L87MffumRNWrY2SNUFcvs,Cocoon,Milky Chance,465607,,1,31,new,2017,1
32,2bWrml86uwGVvznX8KKtwx,Catch 22 (feat. Anne-Marie),Illy,459243,,1,32,new,2017,1
33,43jBqV3j3Xi1g6wO0bhIMd,Now and Later,Sage The Gemini,458579,,1,33,new,2017,1
34,1cG0umU5TKStygKsPFZ9pY,Shed a Light,Robin Schulz,441775,,1,34,new,2017,1
35,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,432906,,1,35,new,2017,1
36,4rex1k9pBVFaIVKBBssZzi,Chameleon,PNAU,424424,,1,36,new,2017,1
