position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
1,0EPxmvsG1BY5td4aTOkWBF,Deu Onda,MC G15,4792078,,1,1,new,2017,1
2,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,2190202,,1,2,new,2017,1
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,1583268,,1,3,new,2017,1
4,45wqPwIH4A5cr2IyyD4WKf,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,1567592,,1,4,new,2017,1
5,2CW04trIoYMbroZWDzPAjs,Medo Bobo - Ao Vivo,Maiara & Maraisa,1494229,,1,5,new,2017,1
6,2wFnRPjuqwNySFiK0Qfg8L,10% - Ao Vivo,Maiara & Maraisa,1412225,,1,6,new,2017,1
7,6zCqeUUqLb2CapBmVwAHll,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,1372410,,1,7,new,2017,1
8,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,1364180,,1,8,new,2017,1
9,2d3TbSkAscvT3QRQalq6uT,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,1302839,,1,9,new,2017,1
10,4FxumkF81ICxITeqxx4nK9,Sim ou não (participação especial Maluma),Anitta,1291278,,1,10,new,2017,1
11,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,1227238,,1,11,new,2017,1
12,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1195318,,1,12,new,2017,1
13,0jIitZeIQRTaZgFQf2WpGK,Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,1169985,,1,13,new,2017,1
14,38MpAndIjGAyVdcC6npX95,Infiel - Ao Vivo,Marília Mendonça,1168713,,1,14,new,2017,1
15,000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela",Luan Santana,1103346,,1,15,new,2017,1
16,2DAGCHu5aoo2FOjmtU9ojo,50 Reais,Naiara Azevedo,1095240,,1,16,new,2017,1
17,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,1070192,,1,17,new,2017,1
18,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,1041958,,1,18,new,2017,1
19,2GfxgssRHvY1azHtaRqKoK,Paredes - Ao Vivo,Jorge & Mateus,1023595,,1,19,new,2017,1
20,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,1005077,,1,20,new,2017,1
21,6vve9WKW5I7fQzkU8dNsUE,E Essa Boca Aí? - Ao Vivo,Bruninho & Davi,1001235,,1,21,new,2017,1
22,2Gvn46nwyQhUnQiFhlP7WX,Como Faz Com Ela - Ao Vivo,Marília Mendonça,992652,,1,22,new,2017,1
23,6SwI4OplF8m5NH8wHKIps8,O Nosso Santo Bateu - Na Praia / Ao Vivo,Matheus & Kauan,991683,,1,23,new,2017,1
24,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,983111,,1,24,new,2017,1
25,41mt7YrfLrIc4EQJZFCJtw,Como É Que a Gente Fica - Ao Vivo,Henrique & Juliano,965699,,1,25,new,2017,1
26,4aAq1afusFG6jRiOSHQZvN,Tumbalatum,MC Kevinho,965165,,1,26,new,2017,1
27,5SnQDj5REQVvAdSlhqkEcE,Malbec (Part. Dennis Dj) - Ao Vivo,Henrique & Diego,947813,,1,27,new,2017,1
28,12wiyBZqQ3mOU7AfygXJCw,Homem de Família - Ao Vivo,Gusttavo Lima,946854,,1,28,new,2017,1
29,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,943351,,1,29,new,2017,1
