position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week,country
1,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,975610,,1,1,new,2017,1,canada
2,343YBumqHu19cGoGARUTsd,Fake Love,Drake,848398,,1,2,new,2017,1,canada
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,809530,,1,3,new,2017,1,canada
4,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Migos,708458,,1,4,new,2017,1,canada
5,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,674455,,1,5,new,2017,1,canada
6,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,597698,,1,6,new,2017,1,canada
7,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,586473,,1,7,new,2017,1,canada
8,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,572562,,1,8,new,2017,1,canada
9,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,558795,,1,9,new,2017,1,canada
10,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,554977,,1,10,new,2017,1,canada
11,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,541278,,1,11,new,2017,1,canada
12,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,493190,,1,12,new,2017,1,canada
13,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,474733,,1,13,new,2017,1,canada
14,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,472286,,1,14,new,2017,1,canada
15,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,466478,,1,15,new,2017,1,canada
16,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,446654,,1,16,new,2017,1,canada
17,6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend,435920,,1,17,new,2017,1,canada
18,1qOLh0tI7trd1zdDKxYZTe,Starving,Hailee Steinfeld,427546,,1,18,new,2017,1,canada
19,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,423664,,1,19,new,2017,1,canada
20,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,411498,,1,20,new,2017,1,canada
21,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,406101,,1,21,new,2017,1,canada
22,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,405210,,1,22,new,2017,1,canada
23,7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),DRAM,399884,,1,23,new,2017,1,canada
24,4F7A0DXBrmUAkp32uenhZt,Party Monster,The Weeknd,396032,,1,24,new,2017,1,canada
25,43jBqV3j3Xi1g6wO0bhIMd,Now and Later,Sage The Gemini,389184,,1,25,new,2017,1,canada
26,5GFDrUTLGJix84sNhjCG0g,Caroline,Aminé,380855,,1,26,new,2017,1,canada
27,1CnPYaKxTVb4LWOtiGOm0m,All Time Low,Jon Bellion,370460,,1,27,new,2017,1,canada
28,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,370456,,1,28,new,2017,1,canada
29,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,364518,,1,29,new,2017,1,canada
30,0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,355692,,1,30,new,2017,1,canada
31,6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,J. Cole,348325,,1,31,new,2017,1,canada
32,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,337301,,1,32,new,2017,1,canada
33,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,334351,,1,33,new,2017,1,canada
34,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",Alessia Cara,331531,,1,34,new,2017,1,canada
35,1yNyoWWWikbLhwIGWjZuDW,All Night,The Vamps,323778,,1,35,new,2017,1,canada
36,7aV2mflaASUmGhCErm7kBO,The Mack,Nevada,321832,,1,36,new,2017,1,canada
37,7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),Sia,319416,,1,37,new,2017,1,canada
38,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Petit Biscuit,312048,,1,38,new,2017,1,canada
39,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,The Weeknd,306421,,1,39,new,2017,1,canada
40,4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,Drake,305872,,1,40,new,2017,1,canada
41,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,304258,,1,41,new,2017,1,canada
42,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,The Chainsmokers,301367,,1,42,new,2017,1,canada
43,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),21 Savage,297903,,1,43,new,2017,1,canada
44,11KJSRSgaDxqydKYiD2Jew,Too Good,Drake,293083,,1,44,new,2017,1,canada
45,2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,279116,,1,45,new,2017,1,canada
46,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,275948,,1,46,new,2017,1,canada
47,5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,273244,,1,47,new,2017,1,canada
48,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,Adele,258449,,1,48,new,2017,1,canada
49,7JYsArznYOjX2jsrT3UEnL,OOOUUU,Young M.A,257990,,1,49,new,2017,1,canada
50,17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,257136,,1,50,new,2017,1,canada
51,40UroIGvsMPLPBYwH8rMNA,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,256601,,1,51,new,2017,1,canada
52,4mU5iXHeLgbR94siF7p1sY,Six Feet Under,The Weeknd,250700,,1,52,new,2017,1,canada
53,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,248102,,1,53,new,2017,1,canada
54,3E2Zh20GDCR9B1EYjfXWyv,Weak,AJR,243558,,1,54,new,2017,1,canada
55,2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),Noah Cyrus,240590,,1,55,new,2017,1,canada
56,6F609ICg9Spjrw1epsAnpa,Controlla,Drake,239045,,1,56,new,2017,1,canada
57,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,233896,,1,57,new,2017,1,canada
58,3TRFq09DUgYj1mug6RRqJW,Lot to Learn,Luke Christopher,233224,,1,58,new,2017,1,canada
59,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,233099,,1,59,new,2017,1,canada
60,37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,229261,,1,60,new,2017,1,canada
61,5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,228562,,1,61,new,2017,1,canada
62,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,226761,,1,62,new,2017,1,canada
63,04CttTezSnv71USiiG9mIo,Lighthouse - Andrelli Remix,Hearts & Colors,222370,,1,63,new,2017,1,canada
64,042x9bsUBWW2fJgJ6fUh61,Not Going Home,DVBBS,221968,,1,64,new,2017,1,canada
65,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore,Charlie Puth,218373,,1,65,new,2017,1,canada
66,1cG0umU5TKStygKsPFZ9pY,Shed a Light,Robin Schulz,215839,,1,66,new,2017,1,canada
67,20dP2DaMHIAmwWAbp7peSr,pick up the phone,Young Thug,214195,,1,67,new,2017,1,canada
68,4gmmRb6bZJffOOiww1JGTO,No Heart,21 Savage,213864,,1,68,new,2017,1,canada
69,7zTx8ePYAmPFQuxP3xlXZn,Light,San Holo,211578,,1,69,new,2017,1,canada
70,1Tt4sE4pXi57mTD1GCzsqm,Needed Me,Rihanna,208502,,1,70,new,2017,1,canada
71,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,207875,,1,71,new,2017,1,canada
72,1FUViuNSldssMIawrOXF2i,I Got You,Bebe Rexha,202612,,1,72,new,2017,1,canada
73,7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),Future,201172,,1,73,new,2017,1,canada
74,7yHEDfrJNd0zWOfXwydNH0,Into You,Ariana Grande,200960,,1,74,new,2017,1,canada
75,3kxfsdsCpFgN412fpnW85Y,Redbone,Childish Gambino,195445,,1,75,new,2017,1,canada
76,6AGON2BGdPmPMJGiiNuuwl,Immortal,J. Cole,194781,,1,76,new,2017,1,canada
77,14WWzenpaEgQZlqPq2nk4v,Work,Rihanna,193867,,1,77,new,2017,1,canada
78,26hcyzSE154xMZCbFdtInA,Taped up Heart (feat. Clara Mae),KREAM,193770,,1,78,new,2017,1,canada
79,1lItf5ZXJc1by9SbPeljFd,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,192295,,1,79,new,2017,1,canada
80,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,191327,,1,80,new,2017,1,canada
81,0B8B8cVRFIG1yznoQe7c9s,Setting Fires,The Chainsmokers,191295,,1,81,new,2017,1,canada
82,4dASQiO1Eoo3RJvt74FtXB,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,190555,,1,82,new,2017,1,canada
83,0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,189358,,1,83,new,2017,1,canada
84,27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,185027,,1,84,new,2017,1,canada
85,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,184679,,1,85,new,2017,1,canada
86,62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,182134,,1,86,new,2017,1,canada
87,78sr3ogs4UzITcCNbXM9cM,Used to This (feat. Drake),Future,180376,,1,87,new,2017,1,canada
88,2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,179848,,1,88,new,2017,1,canada
89,7of1slAJIWrXxP8ikAHxje,Miss You,James Hersey,179545,,1,89,new,2017,1,canada
90,2Ae5awwKvQpTBKQHr1TYCg,Dynamite (feat. Pretty Sister),Nause,178714,,1,90,new,2017,1,canada
91,0utlOiJy2weVl9WTkcEWHy,Neighbors,J. Cole,178158,,1,91,new,2017,1,canada
92,2s76aKBWKShlwPC4xTtEEE,Wake Up Where You Are,State of Sound,177075,,1,92,new,2017,1,canada
93,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,175212,,1,93,new,2017,1,canada
94,6mapJIPnQ23RTAevUoE0DL,Swang,Rae Sremmurd,174781,,1,94,new,2017,1,canada
95,6WhzFzROw3aq3rPWjgYlxr,Gold,Kiiara,173359,,1,95,new,2017,1,canada
96,3pndPhlQWjuSoXhcIIdBjv,What They Want,Russ,172074,,1,96,new,2017,1,canada
97,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,171316,,1,97,new,2017,1,canada
98,5J5PXmMdQ2nh1lZOal8KmK,Litty (feat. Tory Lanez),Meek Mill,170656,,1,98,new,2017,1,canada
99,5nA67Y0XX9JipZwYxX7Gl7,This Town,Niall Horan,169886,,1,99,new,2017,1,canada
100,69bp2EbF7Q2rqc5N3ylezZ,Sorry,Justin Bieber,169072,,1,100,new,2017,1,canada
101,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,167649,,1,101,new,2017,1,canada
102,2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,166212,,1,102,new,2017,1,canada
103,2aksifNn5ph8igDOkPBA02,Love On The Brain,Rihanna,166015,,1,103,new,2017,1,canada
104,6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,164664,,1,104,new,2017,1,canada
105,4STaHtfguDMkWbPEo6Fwcx,Not Nice,PARTYNEXTDOOR,162496,,1,105,new,2017,1,canada
106,36YCdzT57us0LhDmCYtrNE,Rockin’,The Weeknd,161919,,1,106,new,2017,1,canada
107,6i759FCuKx713ZnYjtpQGU,True Colors,The Weeknd,159713,,1,107,new,2017,1,canada
108,0NWqNXBJTpXbkI5rPWNy3p,All I Know,The Weeknd,158929,,1,108,new,2017,1,canada
109,4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),Adele,157652,,1,109,new,2017,1,canada
110,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",G-Eazy,157306,,1,110,new,2017,1,canada
111,3DX4Y0egvc0slLcLl31h2p,Secrets,The Weeknd,156369,,1,111,new,2017,1,canada
112,16Ah4QqH4mgYVXqfC4mdSd,LUV,Tory Lanez,156004,,1,112,new,2017,1,canada
113,1OAiWI2oPmglaOiv9fdioU,Hymn for the Weekend - Seeb Remix,Coldplay,155718,,1,113,new,2017,1,canada
114,6HUnnBwYZqcED1eQztxMBN,Solo Dance,Martin Jensen,154437,,1,114,new,2017,1,canada
115,1Bqxj0aH5KewYHKUg1IdrF,Some Kind Of Drug,G-Eazy,154388,,1,115,new,2017,1,canada
116,7gHs73wELdeycvS48JfIos,Faded,Alan Walker,153155,,1,116,new,2017,1,canada
117,0F1Rc18rZcJOALxIIQPTYd,in my miNd,Maty Noyes,152887,,1,117,new,2017,1,canada
118,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,152496,,1,118,new,2017,1,canada
