position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
1,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,695279,,1,1,new,2017,1
2,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,685575,,1,2,new,2017,1
3,4kKJ5CjwCtksszPMntho4N,Mauvaise graine,Nekfeu,658144,,1,3,new,2017,1
4,11hj8c8BCRd5ND3CRhZSvt,Squa,Nekfeu,639391,,1,4,new,2017,1
5,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,638408,,1,5,new,2017,1
6,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,587443,,1,6,new,2017,1
7,6x8j5V85ZJHtvOSjSamcVc,Afro Trap Pt. 7 (La puissance),MHD,587117,,1,7,new,2017,1
8,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,554670,,1,8,new,2017,1
9,5t9fmZx0pcNxLykKTv6eOe,Saturne,Nekfeu,534556,,1,9,new,2017,1
10,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,533857,,1,10,new,2017,1
11,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Petit Biscuit,523352,,1,11,new,2017,1
12,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,509350,,1,12,new,2017,1
13,0ban5QRXUveaKtQPGuaoQ9,Tchoin,Kaaris,506785,,1,13,new,2017,1
14,58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,498522,,1,14,new,2017,1
15,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,490317,,1,15,new,2017,1
16,4GCIYE1x1TWJCChPkpy9by,Onizuka,PNL,467319,,1,16,new,2017,1
17,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,464414,,1,17,new,2017,1
18,6c12fBpCtuVIq8OFxT0A3S,Lordly (feat. Alex Aiono),Feder,460861,,1,18,new,2017,1
19,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,452712,,1,19,new,2017,1
20,1iDQ2zCOU1uYeR8QcpqUZb,DKR,Booba,446806,,1,20,new,2017,1
21,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,446271,,1,21,new,2017,1
22,6FK7DCwcQWWWG9VAT6ZGvz,Pop Corn,Boostee,443055,,1,22,new,2017,1
23,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,429900,,1,23,new,2017,1
24,6HViP4DVYa8gQtxLndmhwu,Aloha,Møme,426153,,1,24,new,2017,1
25,17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,423669,,1,25,new,2017,1
26,6bXd0YhKLCTvlLVc4tErH9,Tchikita,Jul,417073,,1,26,new,2017,1
27,0myHuhA1FkppaClYHRoxX0,6.45i,SCH,400592,,1,27,new,2017,1
28,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,397101,,1,28,new,2017,1
29,5jGuAvPX3Ufo55DIZlCaHq,Réalité augmentée,Nekfeu,389013,,1,29,new,2017,1
30,0lkQfsTMmtDA37tjjew9n0,Naha,PNL,381425,,1,30,new,2017,1
31,63z6p4gpgnpZprANkpBIHH,Infréquentables,Dosseh,379126,,1,31,new,2017,1
32,2KiHXiqQA2dHiLfeSxtTeP,Bazardée,KeBlack,377107,,1,32,new,2017,1
33,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,375844,,1,33,new,2017,1
34,6YHNKVx7gSsOX7xq6jaqeq,Humanoïde,Nekfeu,373245,,1,34,new,2017,1
35,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,369779,,1,35,new,2017,1
36,1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,367506,,1,36,new,2017,1
37,5DA77EqppDmCTWGovd4oTP,Sex,Cheat Codes,366609,,1,37,new,2017,1
38,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,365958,,1,38,new,2017,1
39,4J6xvZhJh26lmAEAXGDCKu,Heal Tomorrow,Naive New Beaters,363122,,1,39,new,2017,1
40,2hgzdQdnfWwtdpZbhZlV72,Ain't Your Mama,Jennifer Lopez,360352,,1,40,new,2017,1
41,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,350685,,1,41,new,2017,1
42,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,350160,,1,42,new,2017,1
43,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,339758,,1,43,new,2017,1
44,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,338935,,1,44,new,2017,1
45,5cbyl4wFM4UYnQGoA0dcAk,On m'appelle l'ovni,Jul,335876,,1,45,new,2017,1
46,6AHgVddvpK6wQpifbtInW1,Avant tu riais,Nekfeu,334645,,1,46,new,2017,1
47,4qqArAiTPueDxIp7cf87h7,Final Song,MØ,333899,,1,47,new,2017,1
48,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,333296,,1,48,new,2017,1
49,1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,Jonas Blue,332743,,1,49,new,2017,1
50,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,332420,,1,50,new,2017,1
51,5kkqEHDSAU5S4TgKQN1l9d,Galatée,Nekfeu,329882,,1,51,new,2017,1
52,5GhWx7Hzju2oRyhVY6k9QH,Blow,Kaaris,317554,,1,52,new,2017,1
53,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,317226,,1,53,new,2017,1
54,7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),Sia,314217,,1,54,new,2017,1
55,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,312971,,1,55,new,2017,1
56,2gcZZpnrxbShZPLKiNUVga,Esquimaux,Nekfeu,312357,,1,56,new,2017,1
57,0sqOIwjQoaiEXcSgl8iqsi,Oblah,Gradur,311466,,1,57,new,2017,1
58,1OAiWI2oPmglaOiv9fdioU,Hymn for the Weekend - Seeb Remix,Coldplay,309687,,1,58,new,2017,1
59,5ASacvNO76BB7Dxtp74qqz,Tout donner - Pilule violette,Maître Gims,306918,,1,59,new,2017,1
60,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,306279,,1,60,new,2017,1
61,5dyDkXi1bnQKSyIdO0JXp8,Hundred Miles,Yall,296272,,1,61,new,2017,1
62,6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend,288903,,1,62,new,2017,1
63,5NZpY9WeWFtlHVgepfCamX,Dans la légende,PNL,285965,,1,63,new,2017,1
64,00X2yv2vrtritPt2CZnUTZ,Bené,PNL,285306,,1,64,new,2017,1
65,6OZh916QF8XNunWaP97WEZ,Fast Car,Jonas Blue,279406,,1,65,new,2017,1
66,0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,272505,,1,66,new,2017,1
67,0xH4qR6s5TqdzMKRkloBnh,Le regard des gens,Nekfeu,272438,,1,67,new,2017,1
68,6J4VvZ3pIit9KgFtUDniwm,Nekketsu,Nekfeu,270848,,1,68,new,2017,1
69,5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,266942,,1,69,new,2017,1
70,4RhPtvcQqowlT2HSc00LxY,Poussière,Kaaris,263750,,1,70,new,2017,1
71,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore,Charlie Puth,263071,,1,71,new,2017,1
72,783vFwxaUzpGYAOEcGok9w,Elle et l'autre,Jul,257632,,1,72,new,2017,1
