position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week,country
1,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,25734078,,1,1,new,2017,1,global
2,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,23519705,,1,2,new,2017,1,global
3,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21216399,,1,3,new,2017,1,global
4,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,19852704,,1,4,new,2017,1,global
5,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18316326,,1,5,new,2017,1,global
6,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,18064374,,1,6,new,2017,1,global
7,343YBumqHu19cGoGARUTsd,Fake Love,Drake,17037036,,1,7,new,2017,1,global
8,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,16950854,,1,8,new,2017,1,global
9,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,16736035,,1,9,new,2017,1,global
10,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,16609685,,1,10,new,2017,1,global
11,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,16130702,,1,11,new,2017,1,global
12,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,15958402,,1,12,new,2017,1,global
13,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,14458068,,1,13,new,2017,1,global
14,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,14278458,,1,14,new,2017,1,global
15,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,14030444,,1,15,new,2017,1,global
16,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,13936848,,1,16,new,2017,1,global
17,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Migos,13030993,,1,17,new,2017,1,global
18,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,12802756,,1,18,new,2017,1,global
19,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,12713391,,1,19,new,2017,1,global
20,1qOLh0tI7trd1zdDKxYZTe,Starving,Hailee Steinfeld,11678776,,1,20,new,2017,1,global
21,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,11496707,,1,21,new,2017,1,global
22,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,11257008,,1,22,new,2017,1,global
23,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,11099145,,1,23,new,2017,1,global
24,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,11002831,,1,24,new,2017,1,global
25,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,The Chainsmokers,10662121,,1,25,new,2017,1,global
26,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,10655487,,1,26,new,2017,1,global
27,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,10591337,,1,27,new,2017,1,global
28,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,10147451,,1,28,new,2017,1,global
29,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,9456847,,1,29,new,2017,1,global
30,1yNyoWWWikbLhwIGWjZuDW,All Night,The Vamps,9219626,,1,30,new,2017,1,global
31,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,9085236,,1,31,new,2017,1,global
32,43jBqV3j3Xi1g6wO0bhIMd,Now and Later,Sage The Gemini,8963739,,1,32,new,2017,1,global
33,6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend,8876988,,1,33,new,2017,1,global
34,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,8796175,,1,34,new,2017,1,global
