position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,152766,,1,1,new,2017,1
2,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,146292,,1,2,new,2017,1
3,7pcTLUekZJQnzDOUDuExVJ,打上花火,DAOKO,144454,,1,3,new,2017,1
4,7nZmah2llfvLDiUjm0kiyz,Friends (with BloodPop®),Justin Bieber,110832,,1,4,new,2017,1
5,5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,Luis Fonsi,105296,,1,5,new,2017,1
6,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),David Guetta,88424,,1,6,new,2017,1
7,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,86246,,1,7,new,2017,1
8,0NiXXAI876aGImAd6rTj8w,Mama,Jonas Blue,86066,,1,8,new,2017,1
9,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,85868,,1,9,new,2017,1
10,6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza),Avicii,84193,,1,10,new,2017,1
11,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,82126,,1,11,new,2017,1
12,0PAyiPTz8gL0udQnSasc5G,TT - Japanese ver.,TWICE,77196,,1,12,new,2017,1
13,25C5CowdsfXld2jJanbiex,Sorry Not Sorry,Demi Lovato,75193,,1,13,new,2017,1
14,4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,73394,,1,14,new,2017,1
15,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,71660,,1,15,new,2017,1
16,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,70552,,1,16,new,2017,1
17,2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,J Balvin,70507,,1,17,new,2017,1
18,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,70289,,1,18,new,2017,1
19,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Shawn Mendes,70222,,1,19,new,2017,1
20,4c2W3VKsOFoIg2SFaO6DY5,Your Song,Rita Ora,69528,,1,20,new,2017,1
21,0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),Zedd,65537,,1,21,new,2017,1
22,0ofbQMrRDsUaVKq2mGLEAb,Havana,Camila Cabello,65184,,1,22,new,2017,1
23,2gasr6aemUqZIBBN05EO03,My Boo,Shota Shimizu,63347,,1,23,new,2017,1
24,3PEgB3fkiojxms35ntsTgs,More Than You Know,Axwell /\ Ingrosso,62988,,1,24,new,2017,1
25,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,62025,,1,25,new,2017,1
26,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,Liam Payne,61264,,1,26,new,2017,1
27,2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora),Avicii,60639,,1,27,new,2017,1
28,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,57957,,1,28,new,2017,1
29,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,57473,,1,29,new,2017,1
30,0YAMQSmHk6BSUGTYpaoqTJ,Wherever you are,ONE OK ROCK,56970,,1,30,new,2017,1
31,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,56235,,1,31,new,2017,1
32,0aFUi8kAIUcLEaM6LylNui,RAIN,SEKAI NO OWARI,55746,,1,32,new,2017,1
33,7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,54423,,1,33,new,2017,1
34,1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),Clean Bandit,53693,,1,34,new,2017,1
35,0XLOf9LhyazPX9Ld8jPiUq,Fetish (feat. Gucci Mane),Selena Gomez,52819,,1,35,new,2017,1
36,1nMbZ9OsVNSLEyijI80EST,TT,TWICE,50439,,1,36,new,2017,1
37,3HVr6jTVwBHBa2flM0eURR,Glorious (feat. Skylar Grey),Macklemore,50322,,1,37,new,2017,1
38,6jA8HL9i4QGzsj6fjoxp8Y,There for You,Martin Garrix,49775,,1,38,new,2017,1
39,46gSY0U7ZZCmd7EuJuo15N,恋音と雨空,AAA,49711,,1,39,new,2017,1
40,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,49579,,1,40,new,2017,1
41,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,49342,,1,41,new,2017,1
42,6PO8T4qt3FHfauSs98zO9j,Dream,Shota Shimizu,49284,,1,42,new,2017,1
43,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,49151,,1,43,new,2017,1
44,4R7QVSqBN0koJHcOL7PGb5,SIGNAL - Japanese ver.,TWICE,48412,,1,44,new,2017,1
45,20H2Hd5AkUcRjB4yL3UQtJ,Down,Fifth Harmony,47317,,1,45,new,2017,1
46,1CKd1PnqfYx0H12V9MSaIY,Get Low (with Liam Payne),Zedd,45710,,1,46,new,2017,1
47,0tKcYR2II1VCQWT79i5NrW,Thunder,Imagine Dragons,45199,,1,47,new,2017,1
48,3Xrd2febrBti5pNuRTVmra,SORA,GENERATIONS from EXILE TRIBE,44544,,1,48,new,2017,1
49,7aF09WaavZAmAWuUeYxlYD,Rich Love (with Seeb),OneRepublic,44477,,1,49,new,2017,1
50,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,43178,,1,50,new,2017,1
