position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week,country
1,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2408358,,1,1,new,2017,1,united_kingdom
2,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,1840807,,1,2,new,2017,1,united_kingdom
3,5Ua3GXyHwiSfpNTMjq6m2z,Touch,Little Mix,1829205,,1,3,new,2017,1,united_kingdom
4,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,1800843,,1,4,new,2017,1,united_kingdom
5,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,1765567,,1,5,new,2017,1,united_kingdom
6,3AsAuGTaDQzavZZThyYlop,Sexual,NEIKED,1679656,,1,6,new,2017,1,united_kingdom
7,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,1566942,,1,7,new,2017,1,united_kingdom
8,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,1548847,,1,8,new,2017,1,united_kingdom
9,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,1498372,,1,9,new,2017,1,united_kingdom
10,58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,1468225,,1,10,new,2017,1,united_kingdom
11,1yNyoWWWikbLhwIGWjZuDW,All Night,The Vamps,1394206,,1,11,new,2017,1,united_kingdom
12,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,1387484,,1,12,new,2017,1,united_kingdom
13,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,1382921,,1,13,new,2017,1,united_kingdom
14,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,1370103,,1,14,new,2017,1,united_kingdom
15,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,1354492,,1,15,new,2017,1,united_kingdom
16,0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,Little Mix,1351830,,1,16,new,2017,1,united_kingdom
17,343YBumqHu19cGoGARUTsd,Fake Love,Drake,1323814,,1,17,new,2017,1,united_kingdom
18,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1308638,,1,18,new,2017,1,united_kingdom
